               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099515,            0.041478,                   0,             0.13389,            0.097513,            0.040709,            0.008492,            0.083536,            0.070636,                   0,           0.0033223,           0.0033223,              0.0701
                   1,            0.073652,            0.037547,                   0,             0.44016,             0.38087,             0.32992,            0.098004,            0.066482,            0.049502,                   0,           0.0066336,           0.0066336,            0.040078
                   2,              0.0646,            0.030194,                   0,             0.31736,             0.21084,             0.18047,            0.057885,            0.074365,             0.05525,                   0,            0.009923,            0.009923,            0.010034
                   3,            0.056954,            0.026027,                   0,             0.78207,             0.57732,             0.67779,             0.31355,             0.05173,            0.036764,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.050893,            0.023554,                   0,             0.76586,             0.60407,             0.68186,             0.29761,            0.051813,            0.036543,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.048324,            0.022881,                   0,             0.83361,             0.61566,             0.72094,             0.34889,            0.050458,            0.036691,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.045962,            0.022148,                   0,             0.81487,             0.67824,             0.76705,              0.3783,            0.047375,            0.032815,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.044227,            0.021487,                   0,             0.85069,             0.70373,             0.79397,             0.42664,             0.04475,            0.030662,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.043443,            0.020984,                   0,             0.84988,             0.66166,             0.75955,             0.41078,            0.045556,            0.033227,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.042138,            0.020616,                   0,             0.86546,             0.64607,             0.75994,             0.41942,            0.045136,            0.035417,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.041274,            0.020464,                   0,             0.85077,             0.66684,              0.7723,             0.42665,            0.044869,             0.03272,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.040706,            0.020128,                   0,             0.85164,             0.70564,             0.80911,             0.45724,             0.04288,            0.031493,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.040177,            0.019962,                   0,             0.83026,             0.69623,             0.79414,             0.43637,            0.043634,             0.03095,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.039512,            0.019792,                   0,             0.86135,              0.6783,             0.79254,             0.45183,            0.042882,            0.031405,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.039465,            0.019714,                   0,             0.87476,             0.70161,             0.82144,             0.45223,             0.04271,            0.029262,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.038965,            0.019522,                   0,             0.85494,              0.7315,             0.83814,             0.48464,            0.041032,            0.028671,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.038328,             0.01892,                   0,             0.87608,             0.71158,             0.81818,             0.46836,            0.041819,             0.02996,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.037919,            0.018921,                   0,             0.89585,             0.68537,             0.81502,             0.46742,            0.042212,            0.029639,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.038025,            0.018843,                   0,             0.86658,              0.7213,             0.83097,             0.48059,            0.041843,            0.029509,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.037651,            0.018822,                   0,              0.8904,             0.70726,             0.82972,             0.47553,            0.041581,            0.029501,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.037264,            0.018826,                   0,             0.88129,              0.7346,             0.83586,              0.4861,            0.041619,            0.028424,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.036834,            0.018782,                   0,             0.86332,             0.72407,             0.83275,             0.47846,            0.041005,            0.029464,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.036562,            0.018601,                   0,             0.85815,             0.74791,             0.84745,             0.49596,            0.040138,            0.028397,                   0,            0.009307,            0.009307,            0.009307
                  23,             0.03652,            0.018335,                   0,             0.86298,             0.74273,             0.84461,               0.489,            0.040235,             0.02797,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.03597,            0.018268,                   0,             0.87568,             0.73635,              0.8497,             0.49186,            0.040259,            0.028581,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.035867,            0.018333,                   0,             0.88366,             0.71587,             0.84053,             0.49486,            0.039824,            0.029067,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.035637,             0.01809,                   0,             0.86091,             0.75488,              0.8505,             0.49501,            0.040484,            0.027932,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.035509,            0.018081,                   0,              0.8726,             0.75025,             0.85838,             0.50024,            0.039699,            0.027929,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.035346,            0.018094,                   0,             0.87164,             0.73051,             0.84349,              0.5031,            0.039866,            0.028801,                   0,            0.009109,            0.009109,            0.009109
                  29,             0.03533,            0.018049,                   0,             0.87289,             0.72958,             0.84136,             0.49549,            0.039343,             0.02844,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.035507,            0.018322,                   0,              0.8869,             0.75755,             0.86671,             0.51229,            0.039066,            0.026911,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.035059,            0.017908,                   0,              0.8683,             0.74226,             0.85286,             0.50295,            0.039075,            0.028757,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.035157,            0.018056,                   0,             0.87697,             0.74497,             0.85977,             0.50688,             0.03883,            0.027793,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.035456,            0.018122,                   0,             0.85171,             0.74878,             0.84971,             0.50463,            0.038712,            0.029199,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.034631,            0.017411,                   0,              0.8803,              0.7317,             0.85202,             0.50873,            0.038483,            0.028311,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.034543,             0.01804,                   0,             0.89605,             0.72359,             0.85081,             0.50846,            0.038471,            0.027749,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.034666,            0.017653,                   0,             0.88466,             0.75247,             0.86749,             0.51781,            0.038401,            0.027187,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.034475,            0.017532,                   0,             0.87293,             0.75792,              0.8645,             0.51646,             0.03835,            0.027468,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.034523,            0.017447,                   0,             0.88863,              0.7422,             0.86352,             0.51643,            0.038511,            0.027138,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.034241,             0.01747,                   0,             0.88788,             0.75156,             0.86576,             0.51801,            0.038421,            0.027215,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.033863,             0.01754,                   0,             0.86365,             0.76462,              0.8689,             0.52465,            0.037859,            0.027037,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.034038,            0.017342,                   0,             0.89638,             0.73644,             0.86006,             0.51771,            0.038135,            0.027442,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.033917,            0.017342,                   0,              0.8611,             0.76318,             0.86355,             0.51806,             0.03807,            0.027844,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.033685,            0.017434,                   0,              0.8727,             0.74174,              0.8556,             0.51615,             0.03787,             0.02786,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.033858,            0.017331,                   0,             0.86981,             0.75517,             0.86403,              0.5195,            0.037806,             0.02738,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.03365,            0.017177,                   0,             0.86165,             0.74718,             0.85464,             0.51484,            0.038173,            0.028115,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.033567,            0.017346,                   0,             0.86497,             0.76977,             0.87225,             0.52805,            0.037315,            0.027189,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.03351,             0.01739,                   0,              0.8498,             0.76844,             0.86588,             0.52591,            0.037664,            0.027537,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.033353,            0.017286,                   0,             0.86929,              0.7565,             0.86325,              0.5251,            0.037558,            0.028192,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.03356,            0.017052,                   0,             0.88506,             0.73893,              0.8621,             0.52734,            0.037465,            0.027618,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.033035,            0.016708,                   0,              0.8789,             0.75854,             0.87148,              0.5275,            0.037634,            0.027051,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.033165,             0.01701,                   0,             0.88673,             0.75313,             0.87087,             0.52939,            0.037533,            0.026858,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.032871,            0.017079,                   0,             0.86575,             0.74197,              0.8624,             0.52724,            0.037387,            0.027367,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.032931,            0.017038,                   0,             0.87627,             0.75762,             0.86716,             0.52887,             0.03714,            0.027308,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.032815,            0.017011,                   0,             0.87773,             0.74702,             0.86156,             0.52444,            0.037333,            0.027793,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.032806,            0.017121,                   0,             0.89273,             0.75478,             0.87043,             0.53411,            0.036774,            0.026754,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.032734,            0.016871,                   0,              0.8849,             0.74433,             0.86026,             0.52485,            0.037031,            0.027668,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.032331,            0.016792,                   0,             0.88158,             0.75362,             0.86512,              0.5265,            0.037069,            0.027256,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.032742,            0.016818,                   0,             0.89324,             0.73518,             0.86254,             0.52908,             0.03782,            0.027327,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.032785,            0.016792,                   0,             0.85762,             0.76284,             0.86605,             0.53283,            0.036905,            0.027531,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.032239,              0.0166,                   0,             0.86113,             0.76558,             0.86991,             0.53391,            0.036654,            0.027314,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.032329,            0.016816,                   0,             0.88572,             0.75402,             0.86668,             0.52987,            0.037063,            0.027072,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.032298,            0.016521,                   0,             0.87955,             0.74418,             0.86317,             0.52857,            0.036642,            0.027535,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.032293,             0.01658,                   0,             0.87641,             0.76055,             0.86951,             0.53241,            0.036472,            0.026883,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.032119,            0.016692,                   0,             0.86024,             0.77196,             0.86969,             0.53854,            0.036599,            0.027362,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.032091,            0.016497,                   0,              0.8917,             0.74355,             0.86513,             0.53373,            0.036538,            0.027285,                   0,            0.007888,            0.007888,            0.007888
