               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092556,            0.076193,                   0,             0.23733,             0.22584,             0.13585,             0.03209,             0.06709,            0.082671,                   0,           0.0033278,           0.0033278,             0.07005
                   1,            0.064895,               0.046,                   0,             0.47785,             0.37311,               0.398,             0.14666,            0.056133,            0.063743,                   0,           0.0066391,           0.0066391,            0.040028
                   2,            0.057097,            0.036454,                   0,             0.73889,             0.53268,             0.62465,             0.27347,            0.049871,            0.052745,                   0,           0.0099285,           0.0099285,           0.0099839
                   3,            0.048944,            0.031701,                   0,              0.8101,             0.66546,             0.74912,             0.35387,            0.045523,            0.045985,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.044768,            0.029404,                   0,             0.83808,             0.71035,              0.7954,             0.41184,            0.042617,            0.043625,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.042025,            0.028398,                   0,             0.84018,             0.73642,             0.81925,             0.45844,            0.040626,            0.040416,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.040491,            0.027702,                   0,             0.82039,             0.71496,             0.79358,              0.4375,            0.041536,            0.042682,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.039667,            0.027131,                   0,             0.85885,             0.71794,             0.81237,             0.46453,            0.039892,            0.044043,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.038592,            0.026281,                   0,             0.89301,             0.72929,             0.83035,             0.47532,             0.03925,            0.038803,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.038022,            0.026125,                   0,             0.87779,             0.73153,             0.83224,             0.48848,            0.038854,            0.040682,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.037456,            0.025724,                   0,             0.88365,             0.74874,             0.85284,             0.49949,            0.038265,            0.037432,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.036994,            0.025259,                   0,             0.87906,             0.73173,             0.83853,               0.494,            0.038364,            0.039985,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.036881,            0.025209,                   0,             0.88266,             0.75679,             0.85561,             0.50808,            0.037854,            0.037356,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.036393,            0.025115,                   0,             0.87946,              0.7455,             0.84302,             0.49757,            0.038174,            0.039444,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.035867,            0.025003,                   0,             0.88962,             0.75838,             0.85645,             0.50277,            0.037636,            0.037038,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.035415,            0.024801,                   0,             0.87195,             0.76597,             0.85251,             0.50716,            0.037632,            0.037614,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.035054,            0.024194,                   0,             0.85764,             0.72814,             0.82855,             0.49024,            0.038353,            0.040825,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.034873,             0.02438,                   0,             0.89028,             0.74916,             0.85696,             0.51223,             0.03721,            0.038084,                   0,            0.009472,            0.009472,            0.009472
                  18,              0.0352,            0.024432,                   0,             0.88638,             0.74668,             0.84783,             0.51614,            0.036871,            0.039104,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.034521,            0.023493,                   0,             0.89346,             0.75544,             0.86021,             0.52505,            0.036469,            0.037408,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.033995,            0.024144,                   0,             0.88826,              0.7454,             0.84769,             0.51253,            0.036905,            0.038206,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.034316,            0.023714,                   0,               0.882,             0.76763,             0.86937,             0.53357,            0.036186,            0.036721,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.033903,            0.023154,                   0,             0.90283,             0.75673,             0.84907,             0.52352,            0.037001,            0.036973,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.033771,            0.023276,                   0,             0.88539,             0.74925,             0.85426,              0.5179,            0.037012,            0.038714,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.033769,            0.023573,                   0,             0.90061,             0.71543,             0.83629,             0.49887,            0.037548,            0.039404,                   0,            0.009241,            0.009241,            0.009241
                  25,             0.03336,            0.023427,                   0,             0.89102,             0.75828,             0.86849,             0.53367,            0.035963,            0.036648,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.033759,            0.023153,                   0,             0.88566,             0.74509,             0.83925,             0.51127,            0.037028,            0.040324,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.033141,            0.022711,                   0,             0.89931,             0.75535,             0.86879,              0.5383,            0.035732,            0.037176,                   0,            0.009142,            0.009142,            0.009142
